Building ID,Meter Identifier,Appliances
3,ElecMeter(5),"Appliance(type='projector', instance=1)"
4,ElecMeter(1),None
4,ElecMeter(2),"Appliance(type='television', instance=1), Appliance(type='DVD player', instance=1), Appliance(type='set top box', instance=1), Appliance(type='light', instance=1)"
4,ElecMeter(3),"Appliance(type='kettle', instance=1), Appliance(type='radio', instance=1)"
4,ElecMeter(4),"Appliance(type='boiler', instance=1)"
4,ElecMeter(5),"Appliance(type='freezer', instance=1)"
4,ElecMeter(6),"Appliance(type='washing machine', instance=1), Appliance(type='microwave', instance=1), Appliance(type='breadmaker', instance=1)"
5,ElecMeter(2),"Appliance(type='active speaker', instance=1)"
5,ElecMeter(3),"Appliance(type='desktop computer', instance=1)"
5,ElecMeter(4),"Appliance(type='hair dryer', instance=1)"
5,ElecMeter(5),"Appliance(type='television', instance=1)"
5,ElecMeter(6),"Appliance(type='computer monitor', instance=1)"
5,ElecMeter(7),"Appliance(type='running machine', instance=1)"
5,ElecMeter(8),"Appliance(type='network attached storage', instance=1)"
5,ElecMeter(9),"Appliance(type='server computer', instance=1)"
5,ElecMeter(10),"Appliance(type='computer monitor', instance=2)"
5,ElecMeter(11),"Appliance(type='games console', instance=1)"
5,ElecMeter(12),"Appliance(type='clothes iron', instance=1)"
5,ElecMeter(13),"Appliance(type='coffee maker', instance=1)"
5,ElecMeter(14),"Appliance(type='desktop computer', instance=2)"
5,ElecMeter(15),"Appliance(type='toaster', instance=1)"
5,ElecMeter(16),"Appliance(type='audio amplifier', instance=1)"
5,ElecMeter(17),"Appliance(type='set top box', instance=1)"
5,ElecMeter(18),"Appliance(type='kettle', instance=1)"
5,ElecMeter(19),"Appliance(type='fridge freezer', instance=1)"
5,ElecMeter(20),"Appliance(type='electric oven', instance=1)"
5,ElecMeter(21),"Appliance(type='electric stove', instance=1)"
5,ElecMeter(22),"Appliance(type='dish washer', instance=1)"
5,ElecMeter(23),"Appliance(type='microwave', instance=1)"
5,ElecMeter(24),"Appliance(type='washer dryer', instance=1)"
5,ElecMeter(25),"Appliance(type='vacuum cleaner', instance=1)"
5,ElecMeter(26),None
